addr_city,distance from nearest subway,walking time
"100 Lippincott Street, Toronto, M5S 2P1",,
"973 Lansdowne Avenue, Toronto, M6H 3Z5",,
"43 Christie Street, Toronto, M6G 3B1",,
"1229 Ellesmere Road, Toronto, M1P 4V8",,
"1651 Sheppard Ave West, Toronto, M3M 2X4",,
"4222 Kingston Road, Toronto, M1E 2M6",,
"38 Bathrust St, Toronto, M5V 3W3",,
"291 Sherbourne Street, Toronto, M5A 2R9",,
"3306 Kingston Road, Toronto, M1M 1P8",,
"339 George Street, Toronto, M5A-2N2",,
"129 Peter St, Toronto, M5V 1X1",,
"674 Dundas St. W, Toronto, M5T 1H9",,
"616 Vaughan Road Toronto, Toronto, M6C 1C2",,
"20 Gerrard Street East, Toronto, M5B 2P3",,
"2714 Danforth Avenue, Toronto, M4C 1L7",,
"349 George Street, Toronto, M5A 2N2",,
"60 Brant Street, Toronto, M5V 3G9",,
"360 Lesmill Road, North York, M3B 2T5",,
"25 Canterbury Place, North York, M2N OE3",,
"490 Sherbourne Street, 2nd floor, Toronto, M4X 1K9",,
"512 Jarvis St., Toronto, M4Y 2H6",,
"86 Lombard St., Toronto, M5C 1M3",,
"1161 Caledonia Road, Toronto, M6A 2W9",,
"412 Queen Street East, Toronto, M5A 1T3",,
"702 Kennedy Rd, Toronto, M1K 2B5",,
"1322 Bloor Street West, Toronto, M6H 1P2",,
"3576 St. Clair Avenue East, Scarborough, M1K 1M2",,
"805A Wellington Street W, Toronto, M5V 1G8",,
"422 Gilbert Avenue, Toronto, M6E 4X3",,
"1076 Pape Avenue, Toronto, M4K 3W5",,
"14 Vaughan Road, Toronto, M6G 2N1",550m,7
"558 Bathurst Street, Toronto, M5S 2P9",850m,11
"126 Pape Avenue, Toronto, M4M 2V8",,
"60 Newcastle Street, Toronto, M8Y 1A3",,
"70 Gerrard St. E., Toronto, M5B 1G6",,
"3410 Bayview Avenue, Toronto, M2M 3S3",,
"525 Bloor Street East, Toronto, M4W 1J1",,
"87 Pembroke St, Toronto, M5A 2N9",,
"101 Ontario Street, Toronto, M5A 2V2",,
"2808 Dundas St W, Toronto, M6P 1Y5",,
"723 Queen Street West, Toronto, M6J1E6",,
"107 Jarvis Street, Toronto, M5C 2H4",,
"Sherbourne Street, Toronto, M5A 2R5",,
"29 Leslie Street, Toronto, M4M 3C3",,
"2671 Islington Avenue, Toronto, M9V 2X6",,
"502 Spadina Ave., Toronto, M5S 2H1",,
"191 Spadina Road, Toronto, M5R 2T9",,
"95 Wellesley St. E., Toronto, M4Y 2X9",,
"23 Grange Road, Toronto, M5T 1C3",,
"875 Queen St E, Toronto, M4M 1J2",,
"7 Vanauley Street, Toronto, M5T 2V9",,
"21 Walmer Rd., Toronto, M5R 2W7",,
"80 Woodlawn Ave. East, Toronto, M4T 1C1",,
"6 Warrendale Court, Etobicoke, M9V 1P9",,
"348 Davenport Rd., Toronto, M5R 1K6",,
"167 College Street, Toronto, M5T-1P7",,
"702 Kennedy Road, Scarborough, M1K 2B5",,
"265 Queens Drive, Toronto, M6L 3C6",,
"248 Dufferin Street, Toronto, M6K 1Z3",,
"177 Caledonia Rd, Toronto, M6E 4S8",,
"747 Warden Ave, Toronto, M1L 4A1",,